55,2015-10-10
80,2015-10-11
61,2015-10-12
37,2015-10-13
43,2015-10-14
33,2015-10-15
30,2015-10-16
52,2015-10-17
57,2015-10-18
42,2015-10-19
33,2015-10-20
38,2015-10-21
37,2015-10-22
39,2015-10-23
61,2015-10-24
61,2015-10-25
49,2015-10-26
40,2015-10-27
50,2015-10-28
32,2015-10-29
35,2015-10-30
59,2015-10-31
77,2015-11-01
66,2015-11-02
42,2015-11-03
41,2015-11-04
42,2015-11-05
46,2015-11-06
45,2015-11-07
54,2015-11-08
65,2015-11-09
42,2015-11-10
49,2015-11-11
33,2015-11-12
39,2015-11-13
66,2015-11-14
62,2015-11-15
56,2015-11-16
27,2015-11-17
38,2015-11-18
51,2015-11-19
71,2015-11-20
107,2015-11-21
56,2015-11-22
49,2015-11-23
32,2015-11-24
22,2015-11-25
36,2015-11-26
49,2015-11-27
66,2015-11-28
70,2015-11-29
49,2015-11-30
42,2015-12-01
43,2015-12-02
23,2015-12-03
32,2015-12-04
59,2015-12-05
64,2015-12-06
64,2015-12-07
42,2015-12-08
36,2015-12-09
51,2015-12-10
35,2015-12-11
47,2015-12-12
55,2015-12-13
60,2015-12-14
56,2015-12-15
38,2015-12-16
37,2015-12-17
38,2015-12-18
77,2015-12-19
60,2015-12-20
0,2015-12-21
62,2015-12-22
41,2015-12-23
33,2015-12-24
36,2015-12-25
43,2015-12-26
52,2015-12-27
33,2015-12-28
37,2015-12-29
39,2015-12-30
29,2015-12-31
41,2016-01-01
50,2016-01-02
61,2016-01-03
48,2016-01-04
43,2016-01-05
38,2016-01-06
51,2016-01-07
32,2016-01-08
36,2016-01-09
43,2016-01-10
47,2016-01-11
32,2016-01-12
20,2016-01-13
24,2016-01-14
27,2016-01-15
31,2016-01-16
42,2016-01-17
40,2016-01-18
32,2016-01-19
32,2016-01-20
16,2016-01-21
30,2016-01-22
40,2016-01-23
43,2016-01-24
30,2016-01-25
25,2016-01-26
45,2016-01-27
47,2016-01-28
57,2016-01-29
55,2016-01-30
66,2016-01-31
68,2016-02-01
51,2016-02-02
45,2016-02-03
41,2016-02-04
55,2016-02-05
38,2016-02-06
77,2016-02-07
78,2016-02-08
67,2016-02-09
44,2016-02-10
53,2016-02-11
4,2016-02-12
0,2016-02-13
69,2016-02-14
57,2016-02-15
38,2016-02-16
41,2016-02-17
30,2016-02-18
40,2016-02-19
40,2016-02-20
63,2016-02-21
54,2016-02-22
37,2016-02-23
31,2016-02-24
35,2016-02-25
58,2016-02-26
52,2016-02-27
76,2016-02-28
53,2016-02-29
46,2016-03-01
70,2016-03-02
52,2016-03-03
48,2016-03-04
47,2016-03-05
60,2016-03-06
60,2016-03-07
52,2016-03-08
42,2016-03-09
40,2016-03-10
44,2016-03-11
58,2016-03-12
62,2016-03-13
64,2016-03-14
58,2016-03-15
38,2016-03-16
42,2016-03-17
36,2016-03-18
43,2016-03-19
53,2016-03-20
44,2016-03-21
28,2016-03-22
33,2016-03-23
30,2016-03-24
27,2016-03-25
47,2016-03-26
62,2016-03-27
47,2016-03-28
60,2016-03-29
43,2016-03-30
31,2016-03-31
40,2016-04-01
60,2016-04-02
85,2016-04-03
58,2016-04-04
44,2016-04-05
29,2016-04-06
39,2016-04-07
54,2016-04-08
56,2016-04-09
53,2016-04-10
46,2016-04-11
35,2016-04-12
33,2016-04-13
36,2016-04-14
19,2016-04-15
41,2016-04-16
52,2016-04-17
41,2016-04-18
33,2016-04-19
27,2016-04-20
24,2016-04-21
33,2016-04-22
51,2016-04-23
34,2016-04-24
35,2016-04-25
37,2016-04-26
51,2016-04-27
65,2016-04-28
50,2016-04-29
46,2016-04-30
65,2016-05-01
45,2016-05-02
37,2016-05-03
33,2016-05-04
48,2016-05-05
48,2016-05-06
48,2016-05-07
63,2016-05-08
54,2016-05-09
50,2016-05-10
55,2016-05-11
12,2016-05-12
36,2016-05-13
49,2016-05-14
49,2016-05-15
32,2016-05-16
36,2016-05-17
27,2016-05-18
39,2016-05-19
41,2016-05-20
43,2016-05-21
35,2016-05-22
30,2016-05-23
44,2016-05-24
29,2016-05-25
23,2016-05-26
22,2016-05-27
54,2016-05-28
61,2016-05-29
50,2016-05-30
28,2016-05-31
36,2016-06-01
45,2016-06-02
42,2016-06-03
81,2016-06-04
70,2016-06-05
70,2016-06-06
56,2016-06-07
55,2016-06-08
35,2016-06-09
36,2016-06-10
58,2016-06-11
65,2016-06-12
56,2016-06-13
46,2016-06-14
48,2016-06-15
38,2016-06-16
46,2016-06-17
50,2016-06-18
56,2016-06-19
44,2016-06-20
30,2016-06-21
38,2016-06-22
40,2016-06-23
27,2016-06-24
54,2016-06-25
71,2016-06-26
45,2016-06-27
50,2016-06-28
62,2016-06-29
61,2016-06-30
56,2016-07-01
86,2016-07-02
45,2016-07-03
48,2016-07-04
52,2016-07-05
35,2016-07-06
31,2016-07-07
39,2016-07-08
44,2016-07-09
55,2016-07-10
80,2016-07-11
65,2016-07-12
56,2016-07-13
33,2016-07-14
23,2016-07-15
43,2016-07-16
55,2016-07-17
44,2016-07-18
57,2016-07-19
30,2016-07-20
41,2016-07-21
38,2016-07-22
30,2016-07-23
43,2016-07-24
41,2016-07-25
35,2016-07-26
31,2016-07-27
46,2016-07-28
56,2016-07-29
52,2016-07-30
51,2016-07-31
54,2016-08-01
39,2016-08-02
48,2016-08-03
41,2016-08-04
31,2016-08-05
48,2016-08-06
44,2016-08-07
43,2016-08-08
29,2016-08-09
52,2016-08-10
44,2016-08-11
43,2016-08-12
53,2016-08-13
58,2016-08-14
53,2016-08-15
21,2016-08-16
29,2016-08-17
23,2016-08-18
34,2016-08-19
35,2016-08-20
66,2016-08-21
39,2016-08-22
44,2016-08-23
26,2016-08-24
43,2016-08-25
27,2016-08-26
73,2016-08-27
49,2016-08-28
55,2016-08-29
40,2016-08-30
32,2016-08-31
25,2016-09-01
36,2016-09-02
36,2016-09-03
53,2016-09-04
51,2016-09-05
37,2016-09-06
30,2016-09-07
47,2016-09-08
41,2016-09-09
57,2016-09-10
63,2016-09-11
46,2016-09-12
44,2016-09-13
32,2016-09-14
25,2016-09-15
20,2016-09-16
27,2016-09-17
41,2016-09-18
40,2016-09-19
32,2016-09-20
26,2016-09-21
23,2016-09-22
29,2016-09-23
40,2016-09-24
54,2016-09-25
51,2016-09-26
37,2016-09-27
31,2016-09-28
50,2016-09-29
46,2016-09-30
39,2016-10-01
62,2016-10-02
49,2016-10-03
48,2016-10-04
35,2016-10-05
34,2016-10-06
47,2016-10-07
46,2016-10-08
58,2016-10-09
58,2016-10-10
38,2016-10-11
27,2016-10-12
28,2016-10-13
26,2016-10-14
35,2016-10-15
51,2016-10-16
23,2016-10-17
31,2016-10-18
24,2016-10-19
29,2016-10-20
41,2016-10-21
41,2016-10-22
54,2016-10-23
46,2016-10-24
20,2016-10-25
26,2016-10-26
30,2016-10-27
42,2016-10-28
46,2016-10-29
57,2016-10-30
52,2016-10-31
36,2016-11-01
30,2016-11-02
30,2016-11-03
37,2016-11-04
48,2016-11-05
50,2016-11-06
43,2016-11-07
31,2016-11-08
35,2016-11-09
48,2016-11-10
32,2016-11-11
54,2016-11-12
48,2016-11-13
48,2016-11-14
29,2016-11-15
26,2016-11-16
44,2016-11-17
78,2016-11-18
71,2016-11-19
32,2016-11-20
35,2016-11-21
22,2016-11-22
30,2016-11-23
26,2016-11-24
29,2016-11-25
49,2016-11-26
57,2016-11-27
51,2016-11-28
49,2016-11-29
26,2016-11-30
30,2016-12-01
36,2016-12-02
39,2016-12-03
59,2016-12-04
38,2016-12-05
41,2016-12-06
35,2016-12-07
29,2016-12-08
39,2016-12-09
45,2016-12-10
62,2016-12-11
48,2016-12-12
34,2016-12-13
33,2016-12-14
39,2016-12-15
34,2016-12-16
51,2016-12-17
81,2016-12-18
50,2016-12-19
43,2016-12-20
0,2016-12-21
34,2016-12-22
27,2016-12-23
43,2016-12-24
45,2016-12-25
43,2016-12-26
28,2016-12-27
28,2016-12-28
29,2016-12-29
29,2016-12-30
35,2016-12-31
47,2017-01-01
51,2017-01-02
20,2017-01-03
34,2017-01-04
32,2017-01-05
30,2017-01-06
50,2017-01-07
51,2017-01-08
28,2017-01-09
28,2017-01-10
31,2017-01-11
22,2017-01-12
19,2017-01-13
24,2017-01-14
56,2017-01-15
37,2017-01-16
12,2017-01-17
20,2017-01-18
20,2017-01-19
22,2017-01-20
17,2017-01-21
26,2017-01-22
25,2017-01-23
27,2017-01-24
16,2017-01-25
16,2017-01-26
25,2017-01-27
40,2017-01-28
53,2017-01-29
46,2017-01-30
30,2017-01-31
30,2017-02-01
43,2017-02-02
38,2017-02-03
37,2017-02-04
65,2017-02-05
50,2017-02-06
30,2017-02-07
43,2017-02-08
59,2017-02-09
31,2017-02-10
52,2017-02-11
42,2017-02-12
34,2017-02-13
35,2017-02-14
19,2017-02-15
21,2017-02-16
37,2017-02-17
36,2017-02-18
59,2017-02-19
37,2017-02-20
42,2017-02-21
23,2017-02-22
41,2017-02-23
34,2017-02-24
63,2017-02-25
56,2017-02-26
46,2017-02-27
41,2017-02-28
32,2017-03-01
58,2017-03-02
29,2017-03-03
38,2017-03-04
57,2017-03-05
59,2017-03-06
40,2017-03-07
35,2017-03-08
25,2017-03-09
40,2017-03-10
38,2017-03-11
36,2017-03-12
35,2017-03-13
31,2017-03-14
23,2017-03-15
22,2017-03-16
20,2017-03-17
33,2017-03-18
42,2017-03-19
36,2017-03-20
31,2017-03-21
31,2017-03-22
39,2017-03-23
28,2017-03-24
46,2017-03-25
53,2017-03-26
37,2017-03-27
45,2017-03-28
40,2017-03-29
39,2017-03-30
36,2017-03-31
32,2017-04-01
53,2017-04-02
42,2017-04-03
27,2017-04-04
30,2017-04-05
18,2017-04-06
20,2017-04-07
39,2017-04-08
44,2017-04-09
34,2017-04-10
25,2017-04-11
27,2017-04-12
17,2017-04-13
31,2017-04-14
33,2017-04-15
39,2017-04-16
31,2017-04-17
24,2017-04-18
24,2017-04-19
28,2017-04-20
26,2017-04-21
28,2017-04-22
31,2017-04-23
34,2017-04-24
22,2017-04-25
28,2017-04-26
24,2017-04-27
25,2017-04-28
32,2017-04-29
53,2017-04-30
16,2017-05-01
30,2017-05-02
16,2017-05-03
21,2017-05-04
32,2017-05-05
24,2017-05-06
34,2017-05-07
41,2017-05-08
21,2017-05-09
21,2017-05-10
23,2017-05-11
26,2017-05-12
23,2017-05-13
17,2017-05-14
36,2017-05-15
22,2017-05-16
20,2017-05-17
15,2017-05-18
8,2017-05-19
25,2017-05-20
24,2017-05-21
24,2017-05-22
12,2017-05-23
13,2017-05-24
26,2017-05-25
23,2017-05-26
29,2017-05-27
34,2017-05-28
27,2017-05-29
26,2017-05-30
24,2017-05-31
21,2017-06-01
25,2017-06-02
24,2017-06-03
23,2017-06-04
30,2017-06-05
22,2017-06-06
30,2017-06-07
17,2017-06-08
21,2017-06-09
28,2017-06-10
23,2017-06-11
26,2017-06-12
12,2017-06-13
18,2017-06-14
20,2017-06-15
32,2017-06-16
24,2017-06-17
21,2017-06-18
30,2017-06-19
24,2017-06-20
23,2017-06-21
25,2017-06-22
28,2017-06-23
21,2017-06-24
27,2017-06-25
29,2017-06-26
20,2017-06-27
19,2017-06-28
56,2017-06-29
31,2017-06-30
42,2017-07-01
39,2017-07-02
25,2017-07-03
37,2017-07-04
30,2017-07-05
33,2017-07-06
38,2017-07-07
39,2017-07-08
42,2017-07-09
43,2017-07-10
32,2017-07-11
36,2017-07-12
33,2017-07-13
39,2017-07-14
47,2017-07-15
66,2017-07-16
41,2017-07-17
27,2017-07-18
22,2017-07-19
13,2017-07-20
18,2017-07-21
16,2017-07-22
30,2017-07-23
17,2017-07-24
15,2017-07-25
20,2017-07-26
14,2017-07-27
34,2017-07-28
40,2017-07-29
39,2017-07-30
26,2017-07-31
23,2017-08-01
32,2017-08-02
17,2017-08-03
23,2017-08-04
38,2017-08-05
34,2017-08-06
32,2017-08-07
16,2017-08-08
24,2017-08-09
23,2017-08-10
39,2017-08-11
37,2017-08-12
39,2017-08-13
37,2017-08-14
19,2017-08-15
28,2017-08-16
16,2017-08-17
17,2017-08-18
29,2017-08-19
32,2017-08-20
32,2017-08-21
38,2017-08-22
27,2017-08-23
11,2017-08-24
21,2017-08-25
40,2017-08-26
36,2017-08-27
25,2017-08-28
27,2017-08-29
26,2017-08-30
20,2017-08-31
16,2017-09-01
37,2017-09-02
24,2017-09-03
38,2017-09-04
27,2017-09-05
24,2017-09-06
25,2017-09-07
25,2017-09-08
34,2017-09-09
51,2017-09-10
27,2017-09-11
30,2017-09-12
19,2017-09-13
17,2017-09-14
19,2017-09-15
19,2017-09-16
31,2017-09-17
23,2017-09-18
13,2017-09-19
15,2017-09-20
5,2017-09-21
16,2017-09-22
27,2017-09-23
47,2017-09-24
30,2017-09-25
23,2017-09-26
33,2017-09-27
38,2017-09-28
21,2017-09-29
27,2017-09-30
37,2017-10-01
33,2017-10-02
12,2017-10-03
21,2017-10-04
13,2017-10-05
22,2017-10-06
31,2017-10-07
35,2017-10-08
26,2017-10-09
28,2017-10-10
13,2017-10-11
24,2017-10-12
15,2017-10-13
22,2017-10-14
18,2017-10-15
19,2017-10-16
15,2017-10-17
10,2017-10-18
15,2017-10-19
16,2017-10-20
22,2017-10-21
37,2017-10-22
15,2017-10-23
8,2017-10-24
20,2017-10-25
23,2017-10-26
17,2017-10-27
30,2017-10-28
34,2017-10-29
35,2017-10-30
20,2017-10-31
29,2017-11-01
23,2017-11-02
17,2017-11-03
22,2017-11-04
21,2017-11-05
33,2017-11-06
11,2017-11-07
18,2017-11-08
19,2017-11-09
12,2017-11-10
22,2017-11-11
20,2017-11-12
25,2017-11-13
8,2017-11-14
20,2017-11-15
10,2017-11-16
19,2017-11-17
26,2017-11-18
29,2017-11-19
21,2017-11-20
21,2017-11-21
14,2017-11-22
17,2017-11-23
32,2017-11-24
29,2017-11-25
32,2017-11-26
26,2017-11-27
24,2017-11-28
13,2017-11-29
25,2017-11-30
21,2017-12-01
25,2017-12-02
28,2017-12-03
18,2017-12-04
12,2017-12-05
25,2017-12-06
22,2017-12-07
16,2017-12-08
38,2017-12-09
34,2017-12-10
25,2017-12-11
24,2017-12-12
25,2017-12-13
18,2017-12-14
17,2017-12-15
16,2017-12-16
39,2017-12-17
14,2017-12-18
23,2017-12-19
30,2017-12-20
0,2017-12-21
17,2017-12-22
9,2017-12-23
21,2017-12-24
13,2017-12-25
22,2017-12-26
21,2017-12-27
12,2017-12-28
13,2017-12-29
20,2017-12-30
26,2017-12-31
13,2018-01-01
11,2018-01-02
20,2018-01-03
20,2018-01-04
18,2018-01-05
12,2018-01-06
23,2018-01-07
17,2018-01-08
11,2018-01-09
18,2018-01-10
15,2018-01-11
20,2018-01-12
24,2018-01-13
28,2018-01-14
17,2018-01-15
14,2018-01-16
13,2018-01-17
7,2018-01-18
10,2018-01-19
15,2018-01-20
11,2018-01-21
20,2018-01-22
12,2018-01-23
12,2018-01-24
21,2018-01-25
11,2018-01-26
25,2018-01-27
19,2018-01-28
17,2018-01-29
22,2018-01-30
8,2018-01-31
9,2018-02-01
12,2018-02-02
14,2018-02-03
24,2018-02-04
21,2018-02-05
15,2018-02-06
14,2018-02-07
18,2018-02-08
26,2018-02-09
34,2018-02-10
27,2018-02-11
12,2018-02-12
10,2018-02-13
22,2018-02-14
19,2018-02-15
14,2018-02-16
22,2018-02-17
20,2018-02-18
36,2018-02-19
18,2018-02-20
13,2018-02-21
15,2018-02-22
18,2018-02-23
26,2018-02-24
27,2018-02-25
26,2018-02-26
16,2018-02-27
19,2018-02-28
31,2018-03-01
21,2018-03-02
17,2018-03-03
29,2018-03-04
19,2018-03-05
19,2018-03-06
15,2018-03-07
17,2018-03-08
23,2018-03-09
19,2018-03-10
32,2018-03-11
27,2018-03-12
16,2018-03-13
19,2018-03-14
18,2018-03-15
11,2018-03-16
15,2018-03-17
19,2018-03-18
14,2018-03-19
11,2018-03-20
12,2018-03-21
11,2018-03-22
12,2018-03-23
21,2018-03-24
20,2018-03-25
20,2018-03-26
17,2018-03-27
17,2018-03-28
20,2018-03-29
25,2018-03-30
15,2018-03-31
15,2018-04-01
18,2018-04-02
16,2018-04-03
15,2018-04-04
20,2018-04-05
13,2018-04-06
21,2018-04-07
26,2018-04-08
26,2018-04-09
17,2018-04-10
10,2018-04-11
11,2018-04-12
12,2018-04-13
17,2018-04-14
24,2018-04-15
34,2018-04-16
13,2018-04-17
15,2018-04-18
19,2018-04-19
19,2018-04-20
21,2018-04-21
23,2018-04-22
6,2018-04-23
9,2018-04-24
14,2018-04-25
9,2018-04-26
15,2018-04-27
22,2018-04-28
18,2018-04-29
13,2018-04-30
10,2018-05-01
10,2018-05-02
7,2018-05-03
18,2018-05-04
26,2018-05-05
20,2018-05-06
18,2018-05-07
14,2018-05-08
12,2018-05-09
15,2018-05-10
12,2018-05-11
17,2018-05-12
27,2018-05-13
23,2018-05-14
12,2018-05-15
28,2018-05-16
23,2018-05-17
9,2018-05-18
17,2018-05-19
17,2018-05-20
14,2018-05-21
22,2018-05-22
5,2018-05-23
8,2018-05-24
11,2018-05-25
26,2018-05-26
27,2018-05-27
29,2018-05-28
17,2018-05-29
19,2018-05-30
9,2018-05-31
23,2018-06-01
26,2018-06-02
24,2018-06-03
27,2018-06-04
23,2018-06-05
16,2018-06-06
12,2018-06-07
19,2018-06-08
17,2018-06-09
13,2018-06-10
20,2018-06-11
7,2018-06-12
16,2018-06-13
5,2018-06-14
14,2018-06-15
12,2018-06-16
10,2018-06-17
12,2018-06-18
6,2018-06-19
15,2018-06-20
7,2018-06-21
6,2018-06-22
13,2018-06-23
21,2018-06-24
10,2018-06-25
9,2018-06-26
21,2018-06-27
11,2018-06-28
26,2018-06-29
20,2018-06-30
11,2018-07-01
16,2018-07-02
9,2018-07-03
11,2018-07-04
16,2018-07-05
18,2018-07-06
26,2018-07-07
8,2018-07-08
7,2018-07-09
8,2018-07-10
11,2018-07-11
13,2018-07-12
14,2018-07-13
22,2018-07-14
27,2018-07-15
10,2018-07-16
11,2018-07-17
20,2018-07-18
11,2018-07-19
12,2018-07-20
17,2018-07-21
11,2018-07-22
12,2018-07-23
7,2018-07-24
18,2018-07-25
10,2018-07-26
13,2018-07-27
25,2018-07-28
40,2018-07-29
33,2018-07-30
9,2018-07-31
23,2018-08-01
20,2018-08-02
14,2018-08-03
13,2018-08-04
24,2018-08-05
12,2018-08-06
16,2018-08-07
26,2018-08-08
19,2018-08-09
23,2018-08-10
33,2018-08-11
35,2018-08-12
19,2018-08-13
31,2018-08-14
30,2018-08-15
13,2018-08-16
19,2018-08-17
23,2018-08-18
29,2018-08-19
15,2018-08-20
8,2018-08-21
16,2018-08-22
11,2018-08-23
14,2018-08-24
24,2018-08-25
29,2018-08-26
20,2018-08-27
29,2018-08-28
23,2018-08-29
36,2018-08-30
15,2018-08-31
16,2018-09-01
31,2018-09-02
24,2018-09-03
11,2018-09-04
11,2018-09-05
11,2018-09-06
12,2018-09-07
20,2018-09-08
35,2018-09-09
24,2018-09-10
13,2018-09-11
16,2018-09-12
14,2018-09-13
11,2018-09-14
13,2018-09-15
31,2018-09-16
17,2018-09-17
11,2018-09-18
16,2018-09-19
7,2018-09-20
7,2018-09-21
11,2018-09-22
15,2018-09-23
17,2018-09-24
18,2018-09-25
16,2018-09-26
18,2018-09-27
20,2018-09-28
29,2018-09-29
27,2018-09-30
28,2018-10-01
16,2018-10-02
12,2018-10-03
21,2018-10-04
17,2018-10-05
26,2018-10-06
34,2018-10-07
26,2018-10-08
11,2018-10-09
25,2018-10-10
10,2018-10-11
17,2018-10-12
24,2018-10-13
29,2018-10-14
16,2018-10-15
10,2018-10-16
12,2018-10-17
7,2018-10-18
23,2018-10-19
22,2018-10-20
26,2018-10-21
11,2018-10-22
19,2018-10-23
23,2018-10-24
10,2018-10-25
16,2018-10-26
24,2018-10-27
34,2018-10-28
14,2018-10-29
17,2018-10-30
12,2018-10-31
15,2018-11-01
19,2018-11-02
18,2018-11-03
28,2018-11-04
24,2018-11-05
13,2018-11-06
16,2018-11-07
17,2018-11-08
9,2018-11-09
18,2018-11-10
26,2018-11-11
25,2018-11-12
21,2018-11-13
24,2018-11-14
12,2018-11-15
13,2018-11-16
21,2018-11-17
27,2018-11-18
15,2018-11-19
12,2018-11-20
20,2018-11-21
28,2018-11-22
31,2018-11-23
30,2018-11-24
25,2018-11-25
9,2018-11-26
7,2018-11-27
15,2018-11-28
11,2018-11-29
10,2018-11-30
22,2018-12-01
18,2018-12-02
24,2018-12-03
9,2018-12-04
24,2018-12-05
18,2018-12-06
14,2018-12-07
19,2018-12-08
26,2018-12-09
20,2018-12-10
17,2018-12-11
22,2018-12-12
15,2018-12-13
29,2018-12-14
35,2018-12-15
21,2018-12-16
16,2018-12-17
13,2018-12-18
48,2018-12-19
21,2018-12-20
0,2018-12-21
33,2018-12-22
23,2018-12-23
23,2018-12-24
7,2018-12-25
11,2018-12-26
14,2018-12-27
18,2018-12-28
31,2018-12-29
17,2018-12-30
21,2018-12-31
10,2019-01-01
14,2019-01-02
9,2019-01-03
9,2019-01-04
16,2019-01-05
22,2019-01-06
21,2019-01-07
9,2019-01-08
18,2019-01-09
15,2019-01-10
18,2019-01-11
17,2019-01-12
21,2019-01-13
15,2019-01-14
14,2019-01-15
21,2019-01-16
12,2019-01-17
8,2019-01-18
13,2019-01-19
19,2019-01-20
14,2019-01-21
15,2019-01-22
15,2019-01-23
12,2019-01-24
16,2019-01-25
25,2019-01-26
29,2019-01-27
11,2019-01-28
21,2019-01-29
23,2019-01-30
9,2019-01-31
20,2019-02-01
38,2019-02-02
31,2019-02-03
29,2019-02-04
38,2019-02-05
29,2019-02-06
15,2019-02-07
28,2019-02-08
23,2019-02-09
19,2019-02-10
18,2019-02-11
11,2019-02-12
15,2019-02-13
18,2019-02-14
26,2019-02-15
18,2019-02-16
28,2019-02-17
20,2019-02-18
18,2019-02-19
22,2019-02-20
18,2019-02-21
20,2019-02-22
31,2019-02-23
34,2019-02-24
25,2019-02-25
24,2019-02-26
14,2019-02-27
25,2019-02-28
16,2019-03-01
26,2019-03-02
29,2019-03-03
21,2019-03-04
16,2019-03-05
24,2019-03-06
15,2019-03-07
25,2019-03-08
20,2019-03-09
29,2019-03-10
32,2019-03-11
26,2019-03-12
24,2019-03-13
22,2019-03-14
10,2019-03-15
18,2019-03-16
20,2019-03-17
18,2019-03-18
13,2019-03-19
17,2019-03-20
20,2019-03-21
19,2019-03-22
13,2019-03-23
17,2019-03-24
16,2019-03-25
12,2019-03-26
15,2019-03-27
14,2019-03-28
14,2019-03-29
27,2019-03-30
41,2019-03-31
27,2019-04-01
15,2019-04-02
20,2019-04-03
11,2019-04-04
12,2019-04-05
25,2019-04-06
24,2019-04-07
21,2019-04-08
17,2019-04-09
14,2019-04-10
21,2019-04-11
18,2019-04-12
18,2019-04-13
21,2019-04-14
18,2019-04-15
4,2019-04-16
15,2019-04-17
12,2019-04-18
14,2019-04-19
16,2019-04-20
16,2019-04-21
14,2019-04-22
10,2019-04-23
7,2019-04-24
10,2019-04-25
11,2019-04-26
22,2019-04-27
